taxa	region	state	host	date	year	PEAL
NHP_2777_Brazil_SP_SaoPaulo_2017-12-29	Southeast	SP	NHP	29/12/2017	2017	GroupI_III
NHP_2778_Brazil_SP_SaoPaulo_2017-12-29	Southeast	SP	NHP	29/12/2017	2017	GroupI_III
NHP_2782_Brazil_SP_SaoPaulo_2017-12-27	Southeast	SP	NHP	27/12/2017	2017	GroupI_III
NHP_2784_Brazil_SP_SaoPaulo_2018-01-02	Southeast	SP	NHP	02/01/2018	2018	GroupI_III
NHP_2786_Brazil_SP_SaoPaulo_2017-12-23	Southeast	SP	NHP	23/12/2017	2017	GroupI_III
NHP_2877_Brazil_SP_SaoPaulo_2017-12-27	Southeast	SP	NHP	27/12/2017	2017	GroupI_III
NHP_3202_Brazil_SP_SaoPaulo_2018-01-15	Southeast	SP	NHP	15/01/2018	2018	GroupI_III
NHP_73553_Brazil_SP_SaoPaulo_2017-11-25	Southeast	SP	NHP	25/11/2017	2017	GroupI_III
NHP_73635_Brazil_SP_Mairipora_2017-11-28	Southeast	SP	NHP	28/11/2017	2017	GroupI_III
NHP_73816_Brazil_SP_SaoPaulo_2017-12-05	Southeast	SP	NHP	05/12/2017	2017	GroupI_III
NHP_73820_Brazil_SP_SaoPaulo_2017-12-05	Southeast	SP	NHP	05/12/2017	2017	GroupI_III
NHP_73821_Brazil_SP_SaoPaulo_2017-12-05	Southeast	SP	NHP	05/12/2017	2017	GroupI_III
NHP_73941_Brazil_SP_SaoPaulo_2017-12-08	Southeast	SP	NHP	08/12/2017	2017	GroupI_III
NHP_73943_Brazil_SP_SaoPaulo_2017-12-08	Southeast	SP	NHP	08/12/2017	2017	GroupI_III
NHP_73946_Brazil_SP_Mairipora_2017-12-08	Southeast	SP	NHP	08/12/2017	2017	GroupI_III
NHP_74142_Brazil_SP_SaoPaulo_2017-12-19	Southeast	SP	NHP	19/12/2017	2017	GroupI_III
NHP_74213_Brazil_SP_SaoPaulo_2017-12-15	Southeast	SP	NHP	15/12/2017	2017	GroupI_III
NHP_74300_Brazil_SP_SaoPaulo_2017-12-18	Southeast	SP	NHP	18/12/2017	2017	GroupI_III
NHP_74301_Brazil_SP_SaoPaulo_2017-12-19	Southeast	SP	NHP	19/12/2017	2017	GroupI_III
NHP_74327_Brazil_SP_SaoPaulo_2017-12-20	Southeast	SP	NHP	20/12/2017	2017	GroupI_III
NHP_74329_Brazil_SP_SaoPaulo_2017-12-20	Southeast	SP	NHP	20/12/2017	2017	GroupI_III
NHP_74342_Brazil_SP_SaoPaulo_2017-12-27	Southeast	SP	NHP	27/12/2017	2017	GroupI_III
NHP_74347_Brazil_SP_SaoPaulo_2017-12-21	Southeast	SP	NHP	21/12/2017	2017	GroupI_III
NHP_74348_Brazil_SP_SaoPaulo_2017-12-21	Southeast	SP	NHP	21/12/2017	2017	GroupI_III
NHP_74405_Brazil_SP_SaoPaulo_2017-12-22	Southeast	SP	NHP	22/12/2017	2017	GroupI_III
NHP_74417_Brazil_SP_SaoPaulo_2017-12-24	Southeast	SP	NHP	24/12/2017	2017	GroupI_III
NHP_74418_Brazil_SP_SaoPaulo_2017-12-24	Southeast	SP	NHP	24/12/2017	2017	GroupI_III
NHP_74427_Brazil_SP_SaoPaulo_2017-12-25	Southeast	SP	NHP	25/12/2017	2017	GroupI_III
NHP_74454_Brazil_SP_SaoPaulo_2017-12-23	Southeast	SP	NHP	23/12/2017	2017	GroupI_III
NHP_74456_Brazil_SP_SaoPaulo_2017-12-26	Southeast	SP	NHP	26/12/2017	2017	GroupI_III
NHP_74513_Brazil_SP_SaoPaulo_2017-12-27	Southeast	SP	NHP	27/12/2017	2017	GroupI_III
NHP_74631_Brazil_SP_SaoPaulo_2017-12-28	Southeast	SP	NHP	28/12/2017	2017	GroupI_III
NHP_74632_Brazil_SP_SaoPaulo_2017-12-29	Southeast	SP	NHP	29/10/2017	2017	GroupI_III
NHP_74647_Brazil_SP_SaoPaulo_2017-12-31	Southeast	SP	NHP	31/12/2017	2017	GroupI_III
NHP_74649_Brazil_SP_SaoPaulo_2017-12-31	Southeast	SP	NHP	31/12/2017	2017	GroupI_III
NHP_74718_Brazil_SP_SaoPaulo_2018-01-03	Southeast	SP	NHP	03/01/2018	2018	GroupI_III
NHP_74747_Brazil_SP_SaoPaulo_2018-01-04	Southeast	SP	NHP	04/01/2018	2018	GroupI_III
NHP_74748_Brazil_SP_SaoPaulo_2018-01-04	Southeast	SP	NHP	04/01/2018	2018	GroupI_III
NHP_74749_Brazil_SP_SaoPaulo_2018-01-04	Southeast	SP	NHP	04/01/2018	2018	GroupI_III
NHP_74786_Brazil_SP_SaoPaulo_2018-01-03	Southeast	SP	NHP	03/01/2018	2018	GroupI_III
NHP_74787_Brazil_SP_SaoPaulo_2018-01-03	Southeast	SP	NHP	03/01/2018	2018	GroupI_III
NHP_75358_Brazil_SP_Mairipora_2018-01-24	Southeast	SP	NHP	24/01/2018	2018	GroupI_III
KY861728.1_BeAn754036_PR4408_Brazil_Caibate_Brazil_Alouatta_2008-02-09	Southeast	RJ	NHP	09/02/2008	2008	Other
KY885000.2_ES-504_Brazil_Domingos_Martins-ES_Brazil_Alouatta_guariba_clamitans_2017-02-20	Southeast	ES	NHP	20/02/2017	2017	Other
KY885001.2_ES-505_Brazil_Domingos_Martins-ES_Brazil_Alouatta_guariba_clamitans_2017-02-22	Southeast	ES	NHP	22/02/2017	2017	Other
MF170968.1_3925_polyprotein_gene_complete_cds_3925_Brazil_ES_Marechal_Floriano_Brazil_Human_2017-04-13	Southeast	ES	Human	13/04/2017	2017	Other
MF170969.1_rj1930_polyprotein_gene_complete_cds_rj1930_Brazil_ES_Casimiro_de_Abreu_Brazil_Human_2017-03-18	Southeast	ES	Human	18/03/2017	2017	Other
MF170970.1_es-2487_polyprotein_gene_complete_cds_es-2487_Brazil_ES_Domingos_Martins_Brazil_Human_2017-03-21	Southeast	ES	Human	21/03/2017	2017	Other
MF170971.1_m6-590_PNH_polyprotein_gene_complete_cds_Brazil_MG_Sao_Roque_de_Minas_Brazil_Platyrrhini_2017-01-30	Southeast	MG	NHP	30/01/2017	2017	Other
MF170972.1_2992_polyprotein_gene_complete_cds_2992_Brazil_ES_Cariacica_Brazil_Human_2017-03-31	Southeast	ES	Human	31/03/2017	2017	Other
