ID,LOCATION,ZONE_PEAL,Location,Latitude,Longitude,Date_death,Date_of_identification_or_collection,Date_notification,Stage_decomposition,FINAL_YFV_Result,IHQ_YFV_Result,PCR_YFV_Result,Collection,Transport_institute,Species,STATUS
11,Norte,Uso Público,São João Gualberto,"-234,598,158","-466,361,394",17/12/2017,17/12/2017,17/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
12,Norte,Uso Público,São João Gualberto,"-234,598,158","-466,361,394",17/12/2017,17/12/2017,17/12/2017,Vivo,POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
13,Norte,Uso Público,São João Gualberto,"-234,598,158","-466,361,394",18/12/2017,18/12/2017 ou 19/12/2017,19/12/2017,Íntegro (vivo + 1 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
14,Norte,Uso Público,São João Gualberto,"-234,598,158","-466,361,394",19/12/2017,19/12/2017,19/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
15,Norte,Uso Público,Arboreto 500 anos,"-234,598,158","-466,361,394",19/12/2017,19/12/2017,19/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
16,Norte,Uso Público,Museu Otávio Vecchi,"-234,598,158","-466,361,394",20/12/2017,20/12/2017,20/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,sim,GCM-DEPAVE,Alouatta guariba clamitans,
17,Norte,Uso Público,P10_Comando Pamb,"-234,598,158","-466,361,394",20/12/2017,20/12/2017,20/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
18,Norte,Uso Público,Portão Principal (P04),"-234,598,158","-466,361,394",20/12/2017,20/12/2017,20/12/2017,Íntegro (Vivo_0 a 2 dias),POSITIVO,Positivo ou Amostra inadequada - sem fígado,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
19,Norte,Uso Público,Portão Principal (P04),"-234,598,158","-466,361,394",21/12/2017,21/12/2017,21/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,Sequenced
20,Norte,Uso Público,Portão Principal (P04),"-234,598,158","-466,361,394",21/12/2017,21/12/2017,21/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Inadequado/SemFígado,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
21,Norte,Uso Público,Portão Principal (P04),"-234,598,158","-466,361,394",21/12/2017,21/12/2017,21/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,Sim,GCM-DEPAVE,Alouatta guariba clamitans,
